date,company,model,note
2018-06,"OpenAI","GPT-1","First GPT paper — introduced the transformer-decoder pretraining recipe the whole lineage follows."
2019-11-05,"OpenAI","GPT-2 (full release)","Staged release over misuse concerns (partial Feb 2019, full Nov 2019) — an early case of a lab throttling its own launch."
2020-06-11,"OpenAI","GPT-3 (API beta)","175B parameters; first commercially viable GPT via API; kicked off the 'few-shot prompting' era."
2021-05-18,"Google","LaMDA (announced)","Google's 'breakthrough conversation technology', precursor to Bard."
2022-01-27,"OpenAI","InstructGPT","RLHF-aligned sibling of GPT-3; direct technical precursor to ChatGPT."
2022-04,"Google","PaLM (v1)","540B-parameter Pathways Language Model."
2022-11-30,"OpenAI","ChatGPT (GPT-3.5)","Free research-preview chat interface; 1M users in 5 days — the launch that reset the whole industry's roadmap."
2023-02-06,"Google","Bard (LaMDA-powered)","Google's direct reactive answer to ChatGPT's Nov 2022 debut."
2023-02,"Meta","Llama 1","Limited-access research release; the leak of its weights shortly after kickstarted the open-weights LLM ecosystem."
2023-03-14,"OpenAI","GPT-4","Major reasoning/multimodal-input jump; quietly powered an early Bing Chat before its own ChatGPT debut."
2023-03-14,"Anthropic","Claude 1 (API, w/ Claude Instant)","Anthropic's first public model, built on Constitutional AI (self-critique vs. written principles rather than pure RLHF)."
2023-04-11,"Alibaba","Tongyi Qianwen (Qwen, announced)","Alibaba's entry into the LLM race."
2023-05-10,"Google","PaLM 2","Announced at I/O 2023; powered an upgraded Bard."
2023-07-11,"Anthropic","Claude 2","First Claude model opened to the general public (not just an API waitlist)."
2023-07-18,"Meta","Llama 2","First Llama with a genuinely open (free-for-most-commercial-use) license."
2023-08-03,"Alibaba","Qwen-7B / Qwen-7B-Chat","First open-weight Qwen release."
2023-09-27,"Mistral AI","Mistral 7B","Released via a bare magnet-link tweet, no announcement build-up; Apache 2.0, punched well above its weight class."
2023-11,"Anthropic","Claude 2.1","200K context window; beta tool use; halved hallucination rate vs. 2.0."
2023-11,"OpenAI","GPT-4 Turbo","128K context, JSON mode, Assistants API — announced at OpenAI's first DevDay."
2023-11-04,"xAI","Grok 1 (beta)","Launched for X Premium; later open-sourced weights — xAI's only open-weight flagship."
2023-12-06,"Google","Gemini 1.0 (Pro/Nano; Ultra Feb 2024)","First natively multimodal Google model family; Ultra reached the public via 'Gemini Advanced' on 2024-02-08, the same event Bard was renamed Gemini."
2023-12-08,"Mistral AI","Mixtral 8x7B","Open-weights sparse mixture-of-experts; outperformed Llama 2 70B with ~6x faster inference — key MoE-at-scale open-source moment."
2024-02,"Google","Gemini 1.5","Introduced MoE architecture and a long-context breakthrough (up to 1M+ tokens)."
2024-02-01,"AI2 (Allen Institute)","OLMo","First fully open model — data, training code, weights, and eval code all public, a deliberate reproducibility counterpoint to 'open-weight-only' releases."
2024-02-26,"Mistral AI","Mistral Large (v1)","First 'Large' flagship, proprietary."
2024-03,"Cohere","Command R","Enterprise RAG-focused flagship family."
2024-03-04,"Anthropic","Claude 3 (Opus/Sonnet/Haiku)","Family launch establishing the Opus/Sonnet/Haiku size-tier naming still in use; Opus's needle-in-haystack self-awareness moment became a widely-cited situational-awareness anecdote."
2024-03-29 to 2024-05-15,"xAI","Grok 1.5","128K context, improved reasoning; announced late March, rolled out mid-May."
2024-04,"Meta","Llama 3","Community License launch."
2024-04-24,"Cohere","Command R+","104B; Cohere's enterprise flagship, refreshed Aug 2024, succeeded by Command A in March 2025."
2024-05-06,"DeepSeek","DeepSeek-V2","236B MoE (21B active), 128K context — early proof of DeepSeek's economical-training approach."
2024-05-13,"OpenAI","GPT-4o","'Omni' model — text, audio, image unified natively; first GPT-4-class model offered free to all ChatGPT users."
2024-06-20,"Anthropic","Claude 3.5 Sonnet","Mid-tier model that beat the larger Claude 3 Opus on benchmarks; launched with the Artifacts feature."
2024-07-18,"xAI","Grok 2","Improved multimodal/tool use (month per some sources; day-level date unconfirmed)."
2024-07-23,"Meta","Llama 3.1","405B variant — first open-weight model to seriously compete with GPT-4-class closed models."
2024-07-24,"Mistral AI","Mistral Large 2","Vastly outperformed v1; 123B; strong multilingual/code coverage. Refreshed again 2024-11."
2024-09-12,"OpenAI","o1-preview / o1-mini","First OpenAI 'reasoning' model — trades inference-time compute for accuracy on math/science/code; started the reasoning-model race."
2024-09-19,"Alibaba","Qwen2.5","Large multi-size drop (100+ models in one release) spanning 0.5B–72B, plus Coder/Math variants."
2024-09-25,"Meta","Llama 3.2","Added vision-capable and lightweight edge-device variants."
2024-12-03,"Amazon","Nova (Micro/Lite/Pro)","Amazon's first serious first-party foundation-model family, announced at AWS re:Invent as a Bedrock-native answer to OpenAI/Google/Anthropic/Meta."
2024-12-05,"OpenAI","o1 (full)","Released alongside the $200/mo ChatGPT Pro tier."
2024-12-06,"Meta","Llama 3.3","70B model claimed to match 3.1's 405B performance at a fraction of the compute."
2024-12,"Google","Gemini 2.0","Framed around agentic capability."
2024-12-17,"OpenAI","o1-pro","Compute-intensive o1 configuration, ChatGPT Pro/API only."
2024-12-20,"OpenAI","o3 (announced)","Named 'o3', skipping 'o2', reportedly to dodge a UK telecom trademark; announced ahead of general release."
2024-12-26,"DeepSeek","DeepSeek-V3","671B MoE (37B active); matched GPT-4/Claude 3.5-class performance at a fraction of reported training cost — set up the R1 shock a month later."
2025-01-20,"DeepSeek","DeepSeek-R1","THE market-shock release. Surpassed ChatGPT as #1 free iOS app within a week; on 2025-01-27 triggered a historic one-day Nvidia selloff (~17-18%, ~$589B market cap loss) on fears that frontier reasoning no longer required trillion-dollar compute budgets."
2025-01-31,"OpenAI","o3-mini","Reasoning model rolled out to free-tier users too."
2025-02-18,"xAI","Grok 3","Stronger reasoning and tool-use workflows."
2025-02-24,"Anthropic","Claude 3.7 Sonnet","First hybrid reasoning model (toggle between instant and extended 'visible thinking'); launched alongside Claude Code."
2025-02-27,"OpenAI","GPT-4.5 ('Orion')","OpenAI's largest model to date at release; later deprecated from the API by July 2025 in favor of GPT-4.1."
2025-03-25,"Google","Gemini 2.5 Pro (experimental)","'Thinking' model; stable GA followed 2025-06-17 alongside Flash."
2025-04-05,"Meta","Llama 4 (Scout, Maverick)","Native multimodal-from-the-ground-up 'herd'; drew criticism for underwhelming benchmarks relative to the hype. The larger 'Behemoth' variant was never released."
2025-04-16,"OpenAI","o3 (GA) / o4-mini","General availability of o3."
