date,giving_party,receiving_party,what_was_given,delivered_status,description
2007,"Jensen (Jen-Hsun) & Lori Huang","Jen-Hsun & Lori Huang Foundation (est.)","~370,000 Nvidia shares (~$12.6M at the time; grown via splits to ~14.8M shares by 2025)","Confirmed — foundation seeded with Nvidia stock, not cash","The Foundation's only funding source has ever been Jensen Huang's own Nvidia holdings. Roughly two-thirds of its giving now routes through a Schwab Charitable donor-advised fund ('GeForce Fund') rather than direct grants."
2007 to 2010,"Jen-Hsun & Lori Huang Foundation","Stanford University","$30M pledge","Delivered — Jen-Hsun Huang Engineering Center completed 2010","General engineering building anchoring Stanford's Science & Engineering Quad — houses multiple departments, not an AI-specific institute."
2014-01,"Google","DeepMind","Acquisition, ~$500M (widely reported, never officially confirmed)","Delivered — deal completed","Scene-setting: Google buys the UK AI lab, one of the largest AI acquisitions to date."
2014,"Google","Broadcom","Custom TPU (AI accelerator) co-design contract, since extended through 2031 (7 chip generations)","Confirmed — longest-running AI custom-silicon relationship","No dollar figure has ever been disclosed for the base relationship; Broadcom reports 'AI revenue' in aggregate only, never per-customer, so most dollar figures attributed to it below are estimates or press reporting, not company confirmation."
2015-12,"Musk, Altman, Hoffman, Thiel, Livingston, Brockman + AWS, Infosys, YC Research","OpenAI, Inc. (nonprofit)","Collective pledge of ""$1 billion"" (no fixed timeframe)","Gap — only ~$130M actually received by ~2019 (TechCrunch tax-filing investigation)","Founding announcement framed as $1B ""in total"" — a public ceiling, not cash in hand; OpenAI had no obligation to call all of it."
2015-2018,"Elon Musk","OpenAI, Inc. (nonprofit)","Personal contribution, disputed amount","Disputed — shrinking over time: ~$100M (2023 tweet) -> ~$50M (2023 CNBC) -> ""<$45M"" (OpenAI, 2024) -> ~$15M (TechCrunch) -> ~$38M (2026 court testimony)","No agreed figure exists across sources/dates — arguably the single best 'hype decays under scrutiny' case in the whole dataset."
2018-02,"Elon Musk","OpenAI, Inc. (nonprofit)","Board resignation; funding reportedly stops","N/A","Officially a Tesla conflict-of-interest; reporting suggests a messier internal power struggle over control."
2019-03,"OpenAI, Inc. (nonprofit)","OpenAI LP + OpenAI GP LLC (new capped-profit subsidiaries)","Corporate restructuring (not a funding transaction)","N/A","Nonprofit creates a capped-profit operating structure (initial cap ~100x returns), enabling venture-scale fundraising while the nonprofit board keeps control. Enables the Microsoft deal 4 months later."
2019-07,"Microsoft","OpenAI LP (via OpenAI Global, LLC)","$1 billion investment","Reported delivered; cash-vs-Azure-credit composition contested in later retellings","Sealed the exclusive Azure compute partnership; framed publicly as funding AGI research."
2020-01,"Apple","Xnor.ai","Acquisition, ~$200M (estimated, Apple never confirms price)","Delivered — completed","Edge-AI / computer-vision startup spun out of Paul Allen's AI2."
2020-04,"Nvidia","Mellanox","Acquisition, $6.9B (~$7B incl. debt)","Delivered — completed after 1yr+ antitrust review (US/EU/China/Israel/Mexico)","Built Nvidia's networking business, now $10B+/quarter — the interconnect backbone for AI datacenters."
2020-09,"Nvidia","Arm (from SoftBank)","Acquisition announced at $40B","TERMINATED Feb 2022 — never closed. Blocked by FTC, EU, UK CMA; China review incomplete. Nvidia forfeited a $1.36B breakup fee; SoftBank kept a $1.25B prepayment.","Textbook 'pledged, never delivered' acquisition — Arm IPO'd independently instead in 2023."
2021-01,"Dario & Daniela Amodei + ex-OpenAI staff","Anthropic (founded)","Company founding","Confirmed","Founded by OpenAI alumni around an AI-safety focus."
